"","name","pop","lat","lon"
"48","Minneapolis ",388253,44.9772995,-93.2654692
"49","Wichita ",383696,37.6922361,-97.3375448
"50","Arlington ",370908,32.7355816,-97.1071186
"51","New Orleans ",360877,29.9499323,-90.0701156
"52","Bakersfield ",353533,35.3738712,-119.0194639
"53","Tampa ",346934,27.9477595,-82.458444
"54","Anaheim ",340830,33.8347516,-117.911732
"55","Santa Ana ",328856,33.7499595,-117.8732826
"56","St. Louis ",319188,38.6272733,-90.1978889
"57","Riverside ",310025,33.9533546,-117.3961623
"58","Corpus Christi ",308069,27.8002542,-97.3955744
"59","Pittsburgh ",306099,40.4416941,-79.9900861
"60","Lexington-Fayette urban county",301213,38.0464066,-84.4970393
"61","Cincinnati ",296114,39.1014537,-84.5124602
"62","Stockton ",295386,37.9577016,-121.2907796
"63","St. Paul ",288884,44.9504037,-93.1015026
"64","Toledo ",285549,41.6786754,-83.5127283
"65","Newark ",277854,40.735657,-74.1723667
"66","Greensboro ",272521,36.0726355,-79.7919754
"67","Plano ",267620,33.0136764,-96.6925096
"68","Lincoln ",262389,40.8000554,-96.6674005
"69","Buffalo ",260525,42.8864468,-78.8783689
"70","Henderson ",259958,40.8156124,-90.9104547
"71","Fort Wayne ",254607,41.0799898,-85.1386015
"72","Jersey City ",253117,40.7281575,-74.0776417
"73","Chula Vista ",248684,32.6400541,-117.0841955
"74","St. Petersburg ",246042,27.7703796,-82.6695085
"75","Orlando ",243787,28.5421175,-81.3790462
"76","Laredo ",241188,27.5060991,-99.5088979
"77","Chandler ",239977,33.3067132,-111.8408489
"78","Madison ",236923,43.074761,-89.3837613
"79","Lubbock ",233586,33.5778631,-101.8551665
"80","Winston-Salem ",231873,36.0998167,-80.2441445
"81","Hialeah ",231352,25.8670435,-80.29146312
"82","Garland ",230205,32.912624,-96.6388833
"83","Baton Rouge ",228939,30.4507462,-91.154551
"84","Glendale ",228645,34.1423455,-118.2483671
"85","Chesapeake ",225333,36.8190369,-76.2749399
"86","Irvine ",220528,33.6856969,-117.8259819
"87","Irving ",220012,32.8629195,-96.97917017
"88","Scottsdale ",219841,33.5091215,-111.8992365
"89","North Las Vegas ",218971,36.2008371,-115.1120958
"90","Fremont ",217630,37.5482697,-121.9885719
"91","Gilbert ",214057,33.294207,-111.7379465
"92","San Bernardino ",212061,34.1083449,-117.2897652
"93","Rochester ",210891,43.1854754,-77.61068605
"94","Boise City ",209280,43.5988375,-116.243255
"95","Spokane ",209025,47.6588603,-117.4247134
"96","Montgomery ",207513,32.3669656,-86.3006485
"97","Richmond ",206977,37.5385087,-77.43428
"98","Des Moines ",205908,41.5910641,-93.6037149
"99","Modesto ",204312,37.6390972,-120.9968782
"100","Shreveport ",201875,32.4828485,-93.82848316
"101","Fayetteville ",201485,36.111508,-94.20986672
"102","Oxnard ",200080,34.1975048,-119.1770516
"103","Tacoma ",199882,47.2495798,-122.4398746
"104","Fontana ",199879,34.0922335,-117.435048
"105","Akron ",198909,41.0830643,-81.5184854
"106","Yonkers ",197772,40.9312099,-73.8987469
"107","Moreno Valley ",196970,33.937517,-117.2305944
"108","Little Rock ",195279,34.7464809,-92.2895948
"109","Columbus ",195272,39.9622601,-83.0007065
"110","Mobile ",194806,30.6943566,-88.0430541
"111","Amarillo ",193907,35.2072185,-101.8338246
"112","Huntington Beach ",193366,33.6781238,-118.0000112
"113","Glendale ",193214,34.1423455,-118.2483671
"114","Grand Rapids ",189054,42.9632405,-85.6678639
"115","Salt Lake City ",188158,40.7670126,-111.8904308
"116","Tallahassee ",183442,30.4380832,-84.2809332
"117","Huntsville ",182219,34.577718,-86.83583561
"118","Knoxville ",180606,35.9603948,-83.9210261
"119","Newport News ",180356,37.016827,-76.4505196
"120","Grand Prairie ",178811,32.7459645,-96.9977846
"121","Brownsville ",178551,25.9140256,-97.4890856
"122","Providence ",178375,41.8239891,-71.4128343
"123","Santa Clarita ",177843,34.3916641,-118.542586
"124","Overland Park ",176068,38.9822282,-94.6707917
"125","Jackson ",175448,32.2990384,-90.1847691
"126","Garden Grove ",173281,33.7746292,-117.9463717
"127","Chattanooga ",170486,35.0456297,-85.3096801
"128","Oceanside ",169795,33.1958696,-117.3794834
"129","Fort Lauderdale ",169045,26.1223084,-80.1433786
"130","Rancho Cucamonga ",168210,34.1063989,-117.5931084
"131","Port St. Lucie ",167112,27.2939333,-80.3503283
"132","Tempe ",163730,33.4144139,-111.9094474
"133","Springfield ",160408,39.7989763,-89.6443688
"134","Lancaster ",158474,40.03813,-76.3056686
"135","Cape Coral ",157680,26.6069232,-81.9802626
"136","Pembroke Pines ",157568,26.02322025,-80.34123892
"137","Eugene ",157237,44.0505054,-123.0950506
"138","Sioux Falls ",156757,43.5499749,-96.700327
"139","Peoria ",156708,40.6938609,-89.5891008
"140","Salem ",156248,44.9391565,-123.033121
"141","Elk Grove ",155844,38.4087993,-121.3716178
"142","Macon-Bibb County",155632,32.8406946,-83.6324022
"143","Corona ",155005,40.7469593,-73.8601456
"144","Palmdale ",154440,34.5793131,-118.1171108
"145","Springfield ",153798,39.7989763,-89.6443688
"146","Salinas ",152667,36.6777078,-121.6560114
"147","Rockford ",151930,42.2713945,-89.093966
"148","Pasadena ",151308,34.1476452,-118.1444779
"149","Pomona ",150065,34.0552886,-117.7522793
"150","Joliet ",147895,41.525031,-88.0817252
"151","Hayward ",147030,37.6688205,-122.0807964
"152","Torrance ",146461,33.8358492,-118.3406288
"153","Kansas City ",146281,39.0844687,-94.5630298
"154","Escondido ",146247,33.1216751,-117.0814849
"155","Bridgeport ",146110,41.1670412,-73.2048348
"156","Fort Collins ",145977,40.5508527,-105.0668085
"157","Paterson ",145962,40.9167654,-74.171811
"158","Syracuse ",144457,43.0481221,-76.1474244
"159","Lakewood ",144184,39.6246085,-105.0842039
"160","Sunnyvale ",143968,37.3688301,-122.0363496
"161","Hollywood ",143696,34.1028268,-118.3299899
"162","Naperville ",142994,41.7729107,-88.147867
"163","Dayton ",141894,39.7589478,-84.1916069
"164","Cary ",141773,35.7882973,-78.7811925
"165","Mesquite ",141454,32.7666103,-96.599472
"166","Savannah ",140157,32.0835407,-81.0998342
"167","Orange ",138438,33.7500378,-117.8704931
"168","Pasadena ",138036,34.1476452,-118.1444779
"169","McKinney ",137960,33.1976496,-96.6154471
"170","Fullerton ",136673,33.8708215,-117.9294165
"171","Clarksville ",136442,38.2967791,-85.7602087
"172","Warren ",133904,40.8442828,-90.6168408
"173","McAllen ",133623,26.154573,-98.26072076
"174","West Valley City ",131077,40.6916132,-112.0010501
"175","New Haven ",130955,41.3082138,-72.9250518
"176","Bellevue ",130267,47.6144219,-122.1923372
"177","Sterling Heights ",129883,42.5803122,-83.0302033
"178","Olathe ",128269,38.8843867,-94.8161127
"179","Topeka ",128015,39.0490111,-95.6775557
"180","Cedar Rapids ",127837,41.9758872,-91.6704053
"181","Thousand Oaks ",127559,34.1705609,-118.8375937
"182","Waco ",126534,31.549333,-97.1466695
"183","Elizabeth ",126063,40.6639916,-74.2107006
"184","Visalia ",125859,36.3302284,-119.2920585
"185","Gainesville ",125743,29.651907,-82.3247976
"186","Hartford ",125492,41.7634935,-72.6830523
"187","Miramar ",125189,25.97591145,-80.33472113
"188","Simi Valley ",125184,34.2694474,-118.781482
"189","Stamford ",124123,41.0534302,-73.5387341
"190","Concord ",123764,43.207106,-71.5370216
"191","Coral Springs ",123753,26.26485615,-80.26534189
"192","Frisco ",123605,35.2351765,-75.6284903
"193","Charleston ",123144,32.7876012,-79.9402728
"194","Carrollton ",122505,33.5801103,-85.0766113
"195","Roseville ",122294,38.72338,-121.1858782
"196","Lafayette ",122172,30.2240897,-92.0198427
"197","Thornton ",121885,39.95782075,-104.9669887
"198","Evansville ",120133,37.9747645,-87.5558483
"199","Denton ",120045,33.1728435,-97.05898636
"200","Surprise ",119195,33.6292271,-112.3680189
"201","Allen ",118878,37.8882168,-95.3170208
"202","Abilene ",118727,32.4464534,-99.7333478
"203","Victorville ",118134,34.5361067,-117.2911565
"204","Santa Clara ",118010,37.3541132,-121.9551744
"205","Beaumont ",117833,30.0860459,-94.1018461
"206","Springfield ",117096,39.7989763,-89.6443688
"207","Vallejo ",116908,38.1040864,-122.2566367
"208","Independence ",116860,37.2242358,-95.7083131
"209","Peoria ",115279,40.6938609,-89.5891008
"210","Ann Arbor ",115276,42.2681569,-83.7312291
"211","Provo ",114611,40.2338438,-111.6585337
"212","El Monte ",114354,34.0751571,-118.036849
"213","Lansing ",114270,42.7337712,-84.5553805
"214","Berkeley ",114048,37.8708393,-122.2728639
"215","Norman ",113968,35.2225717,-97.4394816
"216","Midland ",113885,43.6155825,-84.2472117
"217","Downey ",112541,33.9400143,-118.1325688
"218","Murfreesboro ",111704,35.9155165,-86.44469333
"219","Costa Mesa ",111049,33.6633386,-117.903317
"220","Inglewood ",110834,33.9616801,-118.3531311
"221","Miami Gardens ",110414,25.94207545,-80.23975271
"222","Waterbury ",110080,41.5581525,-73.0514966
"223","Elgin ",109243,42.0372487,-88.2811895
"224","Clearwater ",108387,27.9658533,-82.8001026
"225","Wilmington ",108244,39.7459468,-75.546589
"226","Rochester ",108171,43.1854754,-77.61068605
"227","San Buenaventura (Ventura) ",107800,34.302548,-119.2072845
"228","Carlsbad ",107754,33.1580933,-117.3505939
"229","Fargo ",107714,46.8772292,-96.789821
"230","Arvada ",107578,39.8027644,-105.0874842
"231","Lowell ",107553,42.6334247,-71.3161718
"232","Gresham ",107498,45.5067406,-122.4367058
"233","Pueblo ",107341,38.2544472,-104.609141
"234","West Covina ",107006,34.0686208,-117.9389526
"235","West Jordan ",106575,40.6096698,-111.9391031
"236","Fairfield ",106254,38.2493581,-122.0399663
"237","Norwalk ",106188,41.1175966,-73.4078968
"238","High Point ",105802,35.9556924,-80.0053176
"239","Billings ",105534,45.7874957,-108.49607
"240","Richmond ",105404,37.5385087,-77.43428
"241","Murrieta ",105253,33.560832,-117.2106564
"242","Green Bay ",104389,44.5299412,-88.0248317
"243","Wichita Falls ",104100,33.9137085,-98.4933873
"244","Burbank ",104003,34.1816482,-118.3258554
"245","Round Rock ",103929,30.5725805,-97.64840733
"246","Antioch ",103923,38.0049214,-121.805789
"247","Everett ",103593,47.9673056,-122.2013998
"248","Palm Bay ",103380,28.0331886,-80.6429695
"249","Temecula ",102955,33.4946353,-117.1473661
"250","Daly City ",102640,37.688432,-122.4606865
"251","Centennial ",102479,39.5680644,-104.9778307
"252","Pompano Beach ",101884,26.2378597,-80.1247667
"253","Richardson ",101676,32.9481789,-96.7297206
"254","Erie ",101431,42.129461,-80.085239
"255","West Palm Beach ",101349,26.7153425,-80.0533746
"256","South Bend ",101012,41.6833813,-86.2500066
"257","Boulder ",100852,40.0149856,-105.2705456
"258","El Cajon ",100833,32.7947731,-116.9625269
"259","Davenport ",100537,41.5236436,-90.5776368
"260","Broken Arrow ",100093,36.0525993,-95.7908195
"261","Las Cruces ",100032,32.3140354,-106.7798078
"262","North Charleston ",99834,32.8546197,-79.9748103
"263","Kenosha ",99525,42.5846773,-87.8212263
"264","Lakeland ",99088,28.0394654,-81.9498042
"265","San Mateo ",98669,37.496904,-122.3330573
"266","Tyler ",98298,32.3512601,-95.3010624
"267","Lawton ",98283,34.6086854,-98.3903305
"268","Albany ",98012,42.6511674,-73.754968
"269","Lewisville ",97424,33.046233,-96.994174
"270","Clovis ",97414,34.405472,-103.2050709
"271","Dearborn ",97326,42.3222599,-83.1763145
"272","Sandy Springs ",97011,33.9242688,-84.3785379
"273","Roanoke ",96810,37.270973,-79.9414313
"274","Jurupa Valley ",96460,33.9798472,-117.4515754
"275","Livonia ",96315,42.36837,-83.3527097
"276","College Station ",95703,30.6262616,-96.3347249
"277","Vista ",95168,33.2000368,-117.2425355
"278","South Gate ",95079,33.9463456,-118.200981
"279","New Bedford ",94798,41.6362152,-70.934205
"280","San Angelo ",94651,31.4319925,-100.4545797
"281","Greeley ",94318,40.4233142,-104.7091322
"282","Davie ",94283,26.075729,-80.28410878
"283","Mission Viejo ",94209,33.5965685,-117.659405
"284","Yuma ",94174,32.665167,-114.4759049
"285","Brockton ",94147,42.0834335,-71.0183787
"286","Hillsboro ",94095,45.5228939,-122.989827
"287","Renton ",94030,47.4799078,-122.2034496
"288","Vacaville ",93356,38.3760441,-121.9954703
"289","Pearland ",93252,29.5639758,-95.2864299
"290","Yakima ",92787,46.601557,-120.5108421
"291","Quincy ",92551,39.9356016,-91.4098727
"292","Carson ",91940,33.8322043,-118.2517547
"293","Lee's Summit ",91920,38.9108408,-94.3821724
"294","Tuscaloosa ",91739,33.2668398,-87.4862182
"295","Hesperia ",91418,34.4263886,-117.3008784
"296","Beaverton ",91406,45.4871723,-122.8037804
"297","Roswell ",91196,33.3942655,-104.5230242
"298","Sparks ",91010,39.5348431,-119.7527683
"299","Lynn ",90778,42.466763,-70.9494939
"300","Santa Monica ",90749,34.0195598,-118.4869739
"301","Federal Way ",90694,47.313494,-122.3393103
"302","Spokane Valley ",90622,47.6732281,-117.2393748
"303","Miami Beach ",90416,25.7881436,-80.1272705
"304","Redding ",90367,40.5863563,-122.3916754
"305","Orem ",89613,40.2975185,-111.6944685
"306","Rio Rancho ",89570,35.233375,-106.6644716
"307","Lawrence ",89050,38.9719384,-95.2359496
"308","Waukegan ",88940,42.3636331,-87.8447938
"309","Santa Barbara ",88757,34.4098107,-119.6970239
"310","Fall River ",88738,43.2264954,-103.5791473
"311","Sandy ",88692,40.572851,-111.8334495
"312","Allen ",87798,37.8882168,-95.3170208
"313","Longmont ",87427,40.1672117,-105.1019287
"314","Fort Smith ",87189,35.3872218,-94.4248983
"315","Plantation ",86961,26.1265258,-80.25786104
"316","Norwalk ",86705,41.1175966,-73.4078968
"317","Chico ",86687,39.7284945,-121.8374777
"318","Nashua ",86644,42.7653662,-71.467566
"319","Boca Raton ",86622,26.3586885,-80.0830984
"320","Sunrise ",86483,26.1482449,-80.32888574
"321","League City ",86279,29.5074538,-95.0949303
"322","Duluth ",86270,46.7729322,-92.1251218
"323","Greenville ",86244,34.851354,-82.3984882
"324","Newport Beach ",86229,33.6170092,-117.9294401
"325","San Leandro ",85989,37.7249296,-122.1560768
"326","Newton ",85915,42.3370414,-71.2092214
"327","Whittier ",85883,33.9748932,-118.0336975
"328","Hawthorne ",85161,33.9113109,-118.3477942
"329","San Marcos ",85152,29.8826436,-97.9405828
"330","Deltona ",85138,28.9005446,-81.2636738
"331","Asheville ",84697,35.6009498,-82.5540161
"332","Trenton ",84476,40.2170575,-74.7429463
"333","Cicero ",84395,41.8455878,-87.7539448
"334","Tracy ",84114,37.718829,-121.4342842
"335","Citrus Heights ",83960,38.7071247,-121.2810611
"336","Bloomington ",83917,39.1670396,-86.5342881
"337","Westland ",83563,42.3238056,-83.4005321
"338","Ogden ",83316,41.2230048,-111.9738429
"339","Sioux City ",83033,42.4966815,-96.4058782
"340","Edmond ",83020,35.6571367,-97.4649038
"341","Nampa ",82645,43.5737361,-116.559642
"342","Livermore ",82360,37.6820583,-121.7680531
"343","Danbury ",82176,41.394817,-73.4540111
"344","Kirkland ",82098,47.6859573,-122.1920249
"345","Champaign ",81982,40.1164205,-88.2433829
"346","Hoover ",81759,33.392206,-86.78045321
"347","Bloomington ",81710,39.1670396,-86.5342881
"348","Buena Park ",81709,33.870413,-117.9962165
"349","Carmel ",81633,39.9783711,-86.1180435
"350","Troy ",81530,42.6055893,-83.1499304
"351","Bellingham ",81517,48.754402,-122.4788602
"352","Indio ",81167,33.7192808,-116.2188054
"353","O'Fallon ",81023,38.5922715,-89.9112124
"354","Longview ",81014,32.5007038,-94.7404891
"355","Concord ",80620,43.207106,-71.5370216
"356","Lakewood ",80599,39.6246085,-105.0842039
"357","Cranston ",80542,41.7809588,-71.4371257
"358","Sugar Land ",80527,29.6196787,-95.6349463
"359","Hemet ",80400,33.778562,-117.0357665
"360","Farmington Hills ",80196,42.4853125,-83.3771553
"361","Hammond ",80194,41.5833658,-87.500043
"362","Fishers ",79955,39.9555928,-86.0138729
"363","Menifee ",79945,37.9357602,-83.6014187
"364","Merced ",79831,37.3029568,-120.4843269
"365","Mission ",79690,26.2159066,-98.3252932
"366","Gary ",79688,41.6021292,-87.3371372
"367","Chino ",79620,34.0133561,-117.690075
"368","Johns Creek ",79521,34.0181557,-84.190196
"369","Racine ",78505,42.7261309,-87.7828523
"370","Lake Forest ",78454,42.2586342,-87.840625
"371","Redwood City ",78066,37.4852152,-122.2363548
"372","Largo ",77941,27.9094665,-82.7873244
"373","Meridian ",77855,32.376096,-88.68978607
"374","Napa ",77777,38.2891775,-122.2937063
"375","Albany ",77746,42.6511674,-73.754968
"376","New Rochelle ",77709,40.9115386,-73.7826363
"377","Bend ",77628,44.0581728,-121.3153096
"378","Camden ",77567,30.9298212,-81.6225075
"379","Bryan ",77255,30.693444,-96.40080172
"380","Bellflower ",77134,33.8825705,-118.1167679
"381","Bloomington ",77120,39.1670396,-86.5342881
"382","St. Joseph ",77112,39.7686055,-94.8466322
"383","Lawrence ",76986,38.9719384,-95.2359496
"384","Avondale ",76927,33.4359175,-112.3405021
"385","Brooklyn Park ",76889,45.1004807,-93.3443585
"386","Lynchburg ",76813,37.40088,-79.18449229
"387","Somerville ",76666,42.3875968,-71.0994968
"388","Deerfield Beach ",76567,26.318342,-80.0996306
"389","Palm Coast ",76554,29.5541432,-81.2207673
"390","Tustin ",76371,33.7458511,-117.826166
"391","Scranton ",75981,41.4086874,-75.6621294
"392","Baldwin Park ",75949,34.08033185,-117.9662137
"393","Decatur ",75846,39.8628075,-88.89387182
"394","Chino Hills ",75788,33.9926803,-117.760056
"395","Medford ",75670,42.3264181,-122.8718605
"396","Fayetteville ",75590,36.111508,-94.20986672
"397","Kennewick ",75542,46.2112458,-119.1372338
"398","Arlington Heights village",75394,38.8967784,-77.0724777
"399","Mountain View ",75207,37.3855745,-122.08205
"400","Bethlehem ",75084,40.6178915,-75.3786521
"401","Evanston ",74993,42.0447388,-87.6930459
"402","Alameda ",74753,37.6090291,-121.899142
"403","Kalamazoo ",74679,42.291707,-85.5872286
"404","Upland ",74623,34.09751,-117.6483876
"405","St. George ",73953,37.104153,-113.5841313
"406","Bolingbrook village",73783,39.98265,-83.1258399
"407","San Ramon ",73062,37.7799273,-121.9780153
"408","Bay ",72973,30.2481693,-85.6593633
"409","Appleton ",72835,44.2611337,-88.4067604
"410","Folsom ",72682,38.6779591,-121.1760583
"411","Wyoming ",72681,43.1700264,-107.5685348
"412","Lake Charles ",72679,30.2265949,-93.2173759
"413","Springdale ",72322,36.1867442,-94.1288142
"414","Southfield ",72109,42.4733689,-83.2218731
"415","Pharr ",72095,26.1572415,-98.19134333
"416","Gastonia ",72013,35.262082,-81.1873005
"417","Auburn ",71605,32.5978265,-85.56335486
"418","Rochester Hills ",71573,42.6583661,-83.1499322
"419","Pleasanton ",71249,37.6624312,-121.8746789
"420","Pawtucket ",71186,41.878711,-71.3825558
"421","Wilmington ",70978,39.7459468,-75.546589
"422","Warner Robins ",70741,32.598313,-83.62567691
"423","Waukesha ",70709,43.0116784,-88.2314813
"424","Union City ",70666,37.5963232,-122.0816297
"425","Perris ",70368,33.7825194,-117.2286478
"426","Muncie ",70347,40.1936683,-85.3865114
"427","Passaic ",70270,40.8567663,-74.1284764
"428","Apple Valley ",70150,44.7319094,-93.21772
"429","Lynwood ",69852,33.9303225,-118.2114933
"430","Lafayette ",69795,30.2240897,-92.0198427
"431","Redlands ",69441,34.072662,-117.0934169
"432","Mount Pleasant ",69411,32.7940651,-79.8625851
"433","Manteca ",69287,37.7986184,-121.2117148
"434","Turlock ",69183,37.4946568,-120.8465941
"435","Iowa City ",69183,41.6612561,-91.5299106
"436","Loveland ",69153,40.3977612,-105.0749801
"437","Jonesboro ",69069,35.8428646,-90.7034522
"438","Boynton Beach ",68946,26.5253491,-80.0664309
"439","Gulfport ",68887,30.3674198,-89.0928155
"440","Santa Fe ",68736,35.6869996,-105.9377997
"441","Rapid City ",68637,44.0811755,-103.228006
"442","Waterloo ",68386,43.4655524,-80.5217786
"443","Lauderhill ",68374,26.1403635,-80.2133808
"444","Layton ",68245,41.0602888,-111.9661495
"445","Jacksonville ",68161,30.3321838,-81.655651
"446","Missouri City ",67922,29.6330685,-95.5375482
"447","Mount Vernon ",67746,38.3172715,-88.9031201
"448","Union City ",67686,37.5963232,-122.0816297
"449","Missoula ",67565,46.879583,-113.921459
"450","Temple ",67514,31.098207,-97.3427847
"451","Rock Hill ",67339,34.9248667,-81.0250784
"452","Goodyear ",67229,33.353366,-112.4138567
"453","Redondo Beach ",67193,33.8455911,-118.3886766
"454","Milpitas ",67188,37.4282724,-121.9066238
"455","Kenner ",66875,29.9942265,-90.2417806
"456","Jackson ",66816,32.2990384,-90.1847691
"457","Eau Claire ",66797,44.811349,-91.4984941
"458","Dothan ",66662,31.158522,-85.4269662
"459","Youngs ",66574,38.8986836,-83.2060162
"460","St. Charles ",66159,41.9141984,-88.3086977
"461","Portland ",66147,45.5202471,-122.6741949
"462","Oshkosh ",66128,44.0206919,-88.5408574
"463","Flower Mound ",66067,33.0145673,-97.0969552
"464","Flagstaff ",66066,35.199458,-111.6514259
"465","Rancho Cordova ",66058,38.5890723,-121.302728
"466","Schenectady ",66041,42.8095455,-74.021672
"467","Frederick ",65965,39.414443,-77.4105783
"468","St. Cloud ",65915,45.5616075,-94.1642004
"469","Yorba Linda ",65765,33.890107,-117.8255939
"470","Davis ",65741,38.545379,-121.7445835
"471","Camarillo ",65670,34.2163939,-119.0376024
"472","Harlingen ",65666,26.1906306,-97.6961026
"473","Palo Alto ",65442,37.442156,-122.1634472
"474","Walnut Creek ",64914,37.9063131,-122.064963
"475","Yuba City ",64845,39.1404477,-121.6169108
"476","South San Francisco ",64621,37.6549493,-122.4081251
"477","Pittsburg ",64621,38.0187757,-121.8850836
"478","Pasco ",64568,28.2996183,-82.4522702
"479","Eagan ",64526,44.818173,-93.1659179
"480","East Orange ",64403,40.767323,-74.2048677
"481","North Richland Hills ",64387,32.8342952,-97.2289029
"482","San Clemente ",64378,33.4270275,-117.6124179
"483","Franklin ",64339,37.9765409,-88.9335327
"484","Johnson City ",64283,36.3134398,-82.3534728
"485","Lorain ",63968,41.452819,-82.1823746
"486","Laguna Niguel ",63893,33.5225261,-117.7075526
"487","Fort Myers ",63838,26.640628,-81.8723084
"488","North Little Rock ",63525,34.7456275,-92.15314448
"489","Woodbury ",63523,44.92317,-92.9588282
"490","Janesville ",63449,42.7151854,-88.9907743
"491","Bossier City ",63441,32.5499425,-93.70095925
"492","Pico Rivera ",63384,33.9830688,-118.096735
"493","Maple Grove ",63200,45.0759797,-93.4561052
"494","Montebello ",63090,34.0159398,-118.111975
"495","Shawnee ",63017,39.0416718,-94.7202376
"496","Bismarck ",62997,46.8083268,-100.7837392
"497","Homestead ",62777,25.4687224,-80.4775569
"498","Taylor ",62636,32.556921,-84.2395154
"499","Council Bluffs ",62500,41.2621283,-95.8613912
"500","Hamilton ",62335,43.254687,-79.8678197
"501","Rockville ",62143,39.0840054,-77.1527573
"502","Utica ",62024,43.1009031,-75.2326641
"503","Madera ",61999,37.1716264,-119.7737991
"504","Tamarac ",61808,26.2052115,-80.27105546
"505","Conway ",61666,35.0886963,-92.4421011
"506","Eden Prairie ",61610,44.8546856,-93.470786
"507","Delray Beach ",61598,26.4614625,-80.0728201
"508","Kissimmee ",61520,28.2920249,-81.4078013
"509","Coon Rapids ",61506,45.1199652,-93.2877277
"510","Gaithersburg ",61491,39.1434406,-77.2013705
"511","Haverhill ",61463,42.7762015,-71.0772796
"512","Santa Cruz ",61449,36.9746099,-122.0294259
"513","Waltham ",61377,42.3756401,-71.2358004
"514","Marysville ",61289,39.1457247,-121.5913516
"515","Daytona Beach ",61202,29.2108147,-81.0228331
"516","La Habra ",61052,33.9318775,-117.9461074
"517","Terre Haute ",60985,39.4667025,-87.4139119
"518","Vineland ",60947,39.473152,-75.00202645
"519","Meriden ",60736,41.5381535,-72.8070435
"520","Monterey Park ",60676,34.0512156,-118.129229
"521","Burnsville ",60655,44.7677424,-93.2777226
"522","North Miami ",60593,25.90560775,-80.17506945
"523","West Allis ",60507,43.0166806,-88.0070315
"524","Cheyenne ",60339,41.1399814,-104.8202462
"525","Encinitas ",60339,33.0369867,-117.2919818
"526","Springfield ",60306,39.7989763,-89.6443688
"527","Ames ",60231,42.0346917,-93.6201507
"528","Tulare ",59948,36.2516475,-118.852583
"529","Greenville ",59947,34.851354,-82.3984882
"530","Malden ",59940,42.4250964,-71.066163
"531","Taylorsville ",59755,40.6677517,-111.9386311
"532","Springfield ",59728,39.7989763,-89.6443688
"533","St. Clair Shores ",59671,42.4969805,-82.8888054
"534","Pontiac ",59627,40.8808666,-88.6297839
"535","Grand Junction ",59581,39.063956,-108.5507317
"536","Alpharetta ",59424,34.0709576,-84.2747329
"537","New Braunfels ",59422,29.7026173,-98.1256263
"538","Lancaster ",59400,40.03813,-76.3056686
"539","Bowling Green ",59395,36.9903199,-86.4436018
"540","Gardena ",59279,33.8883302,-118.3070892
"541","Cupertino ",59253,37.3230107,-122.0322519
"542","National City ",59145,32.6781085,-117.0991967
"543","Conroe ",59120,30.20481805,-95.45240905
"544","Great Falls ",58971,47.5048851,-111.2918908
"545","Lakewood ",58649,39.6246085,-105.0842039
